Student_ID,Age,Gender,Degree,Specialization,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status,Salary
2225,20,Male,BCA,DS,6.09,1,3,5,5,63,7,2,2,Not Placed,0
32808,19,Male,MCA,IT,6.35,0,3,3,8,40,5,1,1,Not Placed,0
23466,24,Female,MCA,IT,5.63,1,3,6,5,55,6,2,1,Not Placed,0
49126,23,Female,BCA,DS,7.78,1,4,7,6,96,8,2,0,Placed,592000
38907,24,Female,B.Tech,CSE,7.67,3,5,8,6,59,6,2,1,Placed,578000
28311,23,Male,B.Sc,DS,5.52,0,3,4,6,57,6,1,2,Not Placed,0
18524,24,Female,BCA,FSD,6.1,1,4,6,6,68,6,2,2,Not Placed,0
47147,21,Male,B.Tech,CSE,6.4,1,4,7,4,74,7,2,2,Not Placed,0
2211,23,Male,MCA,DS,8.18,0,4,5,3,94,6,2,0,Not Placed,0
37778,23,Female,BCA,AI&ML,6.96,2,3,5,5,68,6,2,1,Placed,456000
5966,18,Female,B.Tech,Civil,5.37,0,3,4,8,62,4,1,1,Not Placed,0
13568,22,Female,B.Sc,CS,7.72,0,3,3,5,65,6,1,0,Not Placed,0
28638,24,Female,B.Sc,IT,6.04,0,3,3,7,54,6,1,1,Not Placed,0
41047,24,Female,MCA,IT,8.64,0,4,5,5,94,6,2,0,Placed,498000
40879,19,Female,BCA,AI&ML,8.19,1,5,7,4,75,8,2,0,Not Placed,0
6762,19,Male,BCA,AI&ML,6.74,1,4,6,8,67,4,2,1,Placed,544000
42255,23,Male,BCA,DS,6.96,1,3,4,3,71,8,1,0,Not Placed,0
23033,19,Male,B.Tech,ME,8.03,3,5,7,6,86,5,2,0,Placed,602000
27410,22,Male,B.Sc,DS,9.04,1,5,6,5,82,6,2,0,Placed,524000
47521,21,Male,B.Sc,CS,7.61,1,4,6,7,74,6,2,2,Not Placed,0
14363,19,Female,MCA,FSD,8.09,1,5,7,5,78,6,2,0,Placed,546000
40101,24,Male,BCA,FSD,7.04,1,3,2,6,55,6,1,0,Not Placed,0
24795,22,Female,B.Sc,CS,6.52,0,3,4,4,61,7,1,0,Not Placed,0
15317,23,Female,BCA,IT,6.31,0,2,2,5,60,6,1,3,Not Placed,0
797,21,Male,B.Sc,IT,6.59,1,3,5,6,72,7,2,0,Placed,474000
24402,18,Female,B.Tech,Civil,5.92,1,3,5,5,82,5,2,1,Not Placed,0
25030,19,Male,MCA,AI&ML,7.27,1,5,9,6,77,8,3,0,Placed,634000
17501,20,Male,B.Sc,IT,5.85,0,3,6,5,54,6,2,1,Not Placed,0
33157,20,Female,B.Tech,Civil,7.5,2,4,5,7,64,4,2,1,Placed,498000
17136,20,Female,BCA,DS,7.08,1,4,6,5,61,6,2,0,Placed,472000
11116,21,Female,B.Tech,Civil,9.26,2,5,8,5,90,8,3,0,Placed,619999
566,20,Female,B.Sc,IT,8.21,1,5,7,5,100,7,3,1,Placed,600000
28149,19,Male,MCA,IT,6.79,0,3,5,4,68,8,2,1,Not Placed,0
36158,22,Female,BCA,DS,7.06,0,3,4,8,75,7,1,0,Not Placed,0
34113,23,Female,B.Sc,IT,6.04,1,3,5,6,67,4,2,2,Not Placed,0
33813,18,Male,B.Tech,IT,7.27,1,5,10,4,78,6,3,2,Not Placed,0
13532,20,Female,BCA,DS,7.56,2,5,8,8,84,5,3,1,Placed,668000
18196,22,Female,B.Sc,DS,5.75,0,3,4,4,64,5,1,2,Not Placed,0
26571,21,Female,B.Sc,IT,5.8,1,3,5,6,43,5,1,1,Not Placed,0
42396,24,Male,B.Sc,DS,6.12,2,3,5,7,66,4,2,1,Not Placed,0
36419,19,Male,B.Tech,ME,5.76,0,2,2,8,52,7,1,2,Not Placed,0
28823,22,Female,BCA,IT,8.68,1,5,8,6,73,8,2,0,Placed,586000
6394,24,Female,B.Sc,DS,7.59,2,4,7,4,67,5,2,0,Not Placed,0
21290,18,Male,BCA,FSD,9.11,2,5,7,4,87,6,2,0,Not Placed,0
6805,24,Male,MCA,FSD,6.5,1,3,5,6,79,5,2,0,Placed,488000
19689,24,Female,B.Sc,DS,7.38,1,3,4,3,90,6,2,2,Not Placed,0
975,21,Male,BCA,DS,6.54,1,3,5,5,49,6,1,0,Not Placed,0
49932,22,Male,MCA,AI&ML,6.7,0,3,5,6,49,6,1,0,Not Placed,0
49123,23,Female,BCA,FSD,6.59,0,4,7,6,62,5,2,2,Not Placed,0
35364,24,Male,B.Tech,ECE,9.16,2,6,9,5,100,5,3,0,Placed,680000
24709,24,Female,B.Sc,IT,9.15,1,6,10,5,88,5,3,0,Placed,676000
25786,18,Male,B.Sc,DS,7.56,1,4,7,6,74,6,2,0,Placed,548000
10246,19,Female,MCA,DS,6.3,1,4,7,4,63,3,2,2,Not Placed,0
39880,19,Female,MCA,FSD,6.32,1,4,7,5,76,5,2,2,Not Placed,0
46152,19,Female,MCA,FSD,7.77,2,4,6,5,90,5,2,2,Not Placed,0
30535,20,Male,BCA,DS,7.38,2,5,10,7,66,4,3,0,Placed,672000
46827,24,Male,MCA,AI&ML,8.07,1,5,9,7,95,4,3,0,Placed,689999
26034,19,Male,BCA,DS,7.01,0,3,4,3,70,4,1,0,Not Placed,0
48780,22,Male,B.Sc,CS,5.07,0,2,2,6,35,8,0,2,Not Placed,0
42958,19,Female,MCA,AI&ML,6.47,1,3,5,8,75,5,2,3,Not Placed,0
8967,22,Male,BCA,DS,8.8,0,4,6,4,74,7,2,0,Not Placed,0
8339,21,Male,B.Sc,IT,7.63,1,4,6,3,100,5,2,1,Not Placed,0
28340,21,Male,BCA,DS,5.88,1,3,4,1,55,6,1,1,Not Placed,0
19747,20,Male,B.Sc,IT,5.35,0,2,3,2,44,6,1,2,Not Placed,0
25437,24,Female,B.Sc,IT,6.38,0,3,4,4,56,5,1,1,Not Placed,0
34144,21,Male,B.Sc,DS,7.59,0,4,6,4,59,6,2,2,Not Placed,0
44239,24,Male,BCA,AI&ML,6.75,0,2,2,5,79,5,1,0,Not Placed,0
9890,22,Female,BCA,DS,7.27,1,3,3,6,76,6,1,0,Not Placed,0
46794,23,Male,B.Tech,CSE,7.68,2,4,6,5,86,7,2,0,Placed,532000
15719,20,Male,B.Tech,IT,7.58,2,4,7,8,64,4,2,0,Placed,578000
2368,24,Male,B.Tech,ECE,6.79,0,3,5,4,60,6,2,2,Not Placed,0
7377,18,Female,MCA,DS,7.83,1,4,7,3,83,6,2,0,Not Placed,0
6443,19,Male,B.Sc,IT,6.21,0,3,3,3,64,7,1,1,Not Placed,0
25267,23,Male,B.Tech,IT,7.12,1,4,6,5,82,4,2,2,Not Placed,0
15695,21,Male,BCA,AI&ML,6.31,0,4,6,5,70,5,2,2,Not Placed,0
30610,21,Male,B.Sc,CS,4.87,0,1,1,3,53,5,0,2,Not Placed,0
46904,22,Male,BCA,FSD,6.97,0,3,5,6,91,7,2,1,Placed,501999
21842,23,Male,MCA,IT,8.4,1,5,9,6,72,7,3,0,Placed,624000
44303,20,Female,BCA,AI&ML,6.05,0,3,4,5,66,5,1,3,Not Placed,0
40656,19,Female,MCA,AI&ML,6.99,1,4,6,5,81,7,2,0,Placed,512000
9728,18,Male,B.Tech,ME,8.04,1,4,5,6,86,6,2,0,Placed,512000
40939,19,Male,MCA,DS,4.5,0,1,1,4,59,7,0,1,Not Placed,0
29131,20,Female,BCA,FSD,6.38,0,3,4,5,61,5,1,3,Not Placed,0
16893,24,Male,B.Sc,DS,8.15,1,4,6,8,79,9,2,0,Placed,568000
33505,24,Female,B.Sc,IT,7.37,1,5,8,4,88,4,3,0,Not Placed,0
23651,24,Female,BCA,FSD,6.54,1,4,7,8,66,6,2,1,Placed,572000
30744,24,Female,MCA,DS,6.62,0,3,3,7,53,9,1,1,Not Placed,0
3478,24,Female,MCA,DS,6.78,1,4,7,5,73,7,2,0,Placed,526000
39396,18,Female,B.Tech,ME,6.71,0,3,3,8,68,4,1,1,Not Placed,0
28109,20,Male,MCA,DS,6.79,0,3,4,4,61,8,1,1,Not Placed,0
26965,22,Male,BCA,IT,7.08,2,5,9,4,61,5,3,0,Not Placed,0
20904,22,Female,MCA,AI&ML,7.78,2,5,8,3,69,5,2,2,Not Placed,0
35532,24,Female,BCA,DS,7.62,1,4,6,5,60,5,2,0,Placed,470000
2164,23,Male,B.Tech,CSE,5.81,0,4,7,3,70,4,2,3,Not Placed,0
42743,21,Female,MCA,IT,7.08,1,4,7,2,51,7,2,2,Not Placed,0
19179,21,Female,B.Sc,IT,7.14,1,4,6,8,80,8,2,0,Placed,569999
41621,24,Female,B.Tech,ME,8.46,2,6,10,6,74,7,3,0,Placed,677999
47709,21,Female,B.Tech,ECE,6.19,0,3,3,8,56,5,1,1,Not Placed,0
43266,19,Male,B.Tech,IT,7.89,1,5,8,4,75,2,2,2,Not Placed,0
1212,18,Male,B.Sc,IT,6.74,0,4,7,5,70,4,2,0,Placed,509999
44694,19,Male,B.Sc,DS,8.5,1,4,5,5,100,6,2,0,Placed,520000
3796,20,Female,MCA,AI&ML,8.63,0,4,4,7,91,7,2,0,Not Placed,0
29353,24,Male,B.Sc,CS,6.67,1,4,6,5,73,6,2,0,Placed,496000
48063,24,Female,MCA,IT,7.03,2,4,7,4,81,4,2,0,Not Placed,0
2580,22,Male,MCA,AI&ML,7.7,0,4,6,7,61,6,2,1,Placed,502000
1254,21,Male,B.Tech,CSE,6.87,1,4,7,5,85,4,2,0,Placed,550000
24377,19,Male,B.Sc,DS,7.3,2,5,8,5,69,6,2,0,Placed,568000
22499,18,Female,MCA,FSD,7.78,1,4,6,6,70,5,2,0,Placed,509999
42536,23,Male,B.Tech,Civil,6.05,0,3,5,3,75,7,2,3,Not Placed,0
19584,22,Female,MCA,IT,5.47,0,3,4,2,56,5,1,2,Not Placed,0
32801,23,Female,BCA,IT,8.03,2,6,10,6,83,8,3,1,Placed,696000
10665,20,Male,MCA,DS,6.21,0,4,7,5,73,5,2,1,Not Placed,0
11079,21,Female,B.Tech,Civil,8.0,2,5,8,9,88,5,3,0,Placed,696000
37604,22,Female,B.Tech,ECE,5.66,0,2,1,6,57,7,0,3,Not Placed,0
46256,18,Female,MCA,DS,8.44,1,5,8,7,84,6,3,0,Placed,638000
9161,23,Female,B.Sc,DS,6.15,0,4,6,7,71,6,2,2,Not Placed,0
6398,22,Female,MCA,AI&ML,5.54,1,3,5,6,37,5,1,1,Not Placed,0
17978,22,Male,BCA,AI&ML,8.29,3,5,8,5,62,7,2,0,Placed,564000
38972,19,Male,MCA,FSD,6.55,0,3,4,4,68,6,1,0,Not Placed,0
42368,20,Male,B.Sc,IT,7.59,2,5,9,8,83,5,3,0,Placed,696000
2593,23,Female,B.Tech,IT,7.63,1,5,8,7,78,5,2,0,Placed,616000
4742,20,Male,BCA,FSD,7.17,1,3,3,5,83,6,1,0,Not Placed,0
38667,24,Female,BCA,IT,7.95,1,5,9,6,85,4,3,1,Placed,650000
13641,22,Male,BCA,AI&ML,6.35,0,3,5,6,73,5,2,2,Not Placed,0
23399,18,Male,MCA,DS,8.18,3,5,7,8,84,6,2,0,Placed,638000
46669,21,Male,MCA,FSD,6.38,0,4,6,9,62,8,2,2,Not Placed,0
24731,21,Female,B.Tech,CSE,6.06,1,3,4,4,41,6,1,3,Not Placed,0
10890,22,Male,B.Sc,CS,8.39,0,4,6,7,81,5,2,0,Placed,542000
19397,19,Female,B.Sc,CS,6.41,0,3,5,2,65,6,2,3,Not Placed,0
38635,24,Male,B.Sc,IT,7.26,0,4,5,6,72,4,2,0,Placed,474000
48580,23,Female,BCA,DS,6.99,2,3,5,3,59,7,1,1,Not Placed,0
11196,18,Female,MCA,DS,6.57,0,4,6,6,87,5,2,2,Not Placed,0
8306,22,Male,B.Tech,ECE,7.44,0,4,5,6,70,8,2,1,Placed,470000
25127,22,Female,B.Sc,DS,7.55,2,4,6,3,74,7,2,0,Not Placed,0
14054,23,Female,MCA,AI&ML,7.68,2,5,8,6,100,6,3,0,Placed,660000
41037,18,Male,BCA,DS,6.41,0,4,8,4,56,6,2,1,Not Placed,0
46316,22,Male,MCA,AI&ML,8.03,0,4,4,5,82,6,2,0,Not Placed,0
35290,24,Female,BCA,DS,8.35,1,5,9,7,100,5,3,1,Placed,699999
35172,22,Male,B.Sc,CS,6.84,2,3,5,3,90,5,2,0,Not Placed,0
31797,22,Female,B.Sc,DS,4.95,0,3,5,6,44,5,1,1,Not Placed,0
18889,18,Female,MCA,IT,7.79,0,4,5,4,66,7,2,0,Not Placed,0
38615,22,Male,BCA,DS,4.58,0,2,2,6,58,6,1,2,Not Placed,0
42040,19,Male,B.Tech,Civil,7.68,0,4,5,5,75,6,2,1,Placed,459999
13268,23,Male,B.Tech,CSE,6.27,1,4,6,5,57,6,2,3,Not Placed,0
43822,23,Male,MCA,IT,6.71,0,3,4,7,60,6,1,0,Not Placed,0
43013,24,Male,B.Tech,IT,6.43,0,4,7,5,73,5,2,1,Not Placed,0
4808,22,Female,BCA,FSD,7.16,1,3,4,5,54,5,1,0,Not Placed,0
31804,20,Female,MCA,DS,6.91,1,4,8,7,67,6,2,0,Placed,584000
27261,22,Female,B.Sc,DS,6.12,1,3,4,5,62,6,1,3,Not Placed,0
35353,22,Male,B.Sc,IT,7.84,3,5,8,7,73,6,2,1,Placed,626000
2419,24,Female,B.Tech,ECE,7.65,0,3,4,6,95,3,2,0,Not Placed,0
43696,20,Male,B.Tech,IT,8.92,2,5,7,6,83,7,2,0,Placed,586000
43803,19,Female,B.Sc,IT,7.78,2,4,7,7,57,3,2,0,Placed,544000
47823,20,Male,BCA,FSD,7.4,0,4,5,6,83,4,2,1,Placed,496000
21095,19,Male,B.Tech,IT,6.41,1,3,5,6,53,7,1,1,Not Placed,0
4721,23,Male,B.Sc,IT,6.57,1,3,4,5,67,6,1,2,Not Placed,0
11,24,Male,B.Tech,ME,6.6,2,3,5,5,65,6,2,0,Placed,450000
38401,19,Female,BCA,IT,5.94,1,3,6,10,47,5,2,3,Not Placed,0
29951,22,Male,B.Sc,DS,7.87,1,5,9,4,82,7,3,2,Not Placed,0
5508,21,Female,MCA,AI&ML,7.56,0,4,6,5,79,4,2,1,Placed,498000
23345,22,Male,B.Tech,Civil,8.41,0,4,6,7,72,3,2,0,Placed,524000
18664,24,Male,BCA,DS,5.14,1,3,6,7,45,7,2,2,Not Placed,0
23846,19,Female,MCA,FSD,5.38,0,3,4,5,65,6,1,2,Not Placed,0
32100,18,Female,B.Sc,DS,5.65,0,3,4,6,62,5,1,1,Not Placed,0
19569,21,Male,B.Tech,CSE,7.22,0,3,4,3,53,5,1,0,Not Placed,0
37475,22,Male,MCA,AI&ML,6.9,1,3,5,7,85,7,2,2,Not Placed,0
24713,19,Female,MCA,IT,7.62,2,4,7,4,77,6,2,2,Not Placed,0
9203,18,Male,B.Sc,DS,7.06,1,3,4,7,78,7,1,0,Not Placed,0
30208,22,Male,B.Tech,IT,7.12,1,5,8,5,70,6,2,0,Placed,560000
7646,22,Male,B.Sc,IT,7.17,0,4,6,5,70,7,2,0,Placed,480000
28752,24,Female,B.Tech,ME,7.62,0,4,5,7,60,5,2,0,Placed,470000
29798,18,Female,MCA,IT,6.77,0,4,6,5,59,4,2,2,Not Placed,0
49160,19,Male,B.Tech,Civil,7.25,1,4,6,5,68,6,2,2,Not Placed,0
6490,20,Female,B.Sc,IT,6.57,0,4,7,9,46,7,2,2,Not Placed,0
12014,21,Female,B.Tech,Civil,6.41,0,3,4,4,60,6,1,2,Not Placed,0
33385,20,Female,B.Sc,DS,6.61,2,4,8,5,66,6,2,0,Placed,552000
45098,19,Male,B.Tech,IT,7.43,1,5,9,5,82,6,3,0,Placed,624000
123,22,Female,BCA,DS,7.56,0,4,5,7,60,5,2,2,Not Placed,0
12799,20,Female,BCA,DS,8.08,0,3,2,6,83,6,1,0,Not Placed,0
42688,23,Male,MCA,DS,5.86,0,2,3,2,39,4,1,1,Not Placed,0
9040,18,Male,B.Tech,ME,6.89,0,4,6,6,89,6,2,0,Placed,538000
34079,24,Male,MCA,IT,7.11,0,4,6,5,72,6,2,0,Placed,484000
30985,20,Male,MCA,DS,7.64,1,4,7,3,91,4,2,0,Not Placed,0
2879,24,Male,MCA,FSD,7.7,1,4,6,3,76,7,2,1,Not Placed,0
39197,18,Female,MCA,IT,7.05,2,5,8,5,68,5,2,0,Placed,566000
48168,24,Male,BCA,FSD,6.47,0,3,4,6,51,8,1,1,Not Placed,0
48352,24,Female,MCA,IT,7.96,2,5,8,6,62,6,2,0,Placed,574000
38742,19,Female,B.Sc,CS,4.93,0,2,2,7,60,5,1,1,Not Placed,0
535,22,Female,BCA,FSD,6.77,0,3,4,3,73,5,1,0,Not Placed,0
15775,20,Female,MCA,FSD,9.0,1,4,5,6,89,6,2,0,Placed,518000
47842,21,Male,MCA,IT,9.3,1,6,9,5,99,7,3,0,Placed,668000
28762,20,Male,BCA,DS,5.86,0,3,5,4,46,6,1,2,Not Placed,0
4350,20,Male,BCA,DS,8.0,0,4,4,5,71,6,1,0,Not Placed,0
37772,24,Female,B.Sc,IT,8.01,2,5,7,5,93,6,2,0,Placed,586000
6402,19,Female,BCA,DS,7.14,1,4,6,5,64,4,2,2,Not Placed,0
34174,20,Female,BCA,DS,7.02,1,4,5,3,54,5,1,0,Not Placed,0
7988,21,Male,B.Tech,ME,8.11,1,5,7,7,64,5,2,0,Placed,558000
46910,22,Female,BCA,IT,8.68,2,6,10,4,84,6,3,0,Not Placed,0
35929,19,Male,BCA,AI&ML,6.54,0,4,8,8,68,5,2,0,Placed,596000
25122,21,Female,B.Sc,DS,7.04,0,4,6,9,71,5,2,2,Not Placed,0
48656,23,Female,MCA,FSD,8.86,1,5,7,5,100,6,3,0,Placed,600000
19406,18,Male,BCA,AI&ML,6.71,0,3,4,7,62,5,1,0,Not Placed,0
37004,20,Male,B.Sc,CS,7.85,1,5,8,4,88,3,3,0,Not Placed,0
41120,21,Female,B.Sc,DS,7.83,0,3,4,6,92,6,2,0,Not Placed,0
152,24,Male,B.Sc,DS,6.53,0,3,4,7,76,7,1,0,Not Placed,0
41008,18,Female,B.Sc,IT,6.47,0,3,4,5,73,6,1,2,Not Placed,0
9192,19,Female,MCA,FSD,7.48,0,3,3,7,79,4,1,0,Not Placed,0
46158,23,Female,B.Sc,DS,8.06,0,4,5,4,86,5,2,0,Not Placed,0
12927,18,Female,BCA,FSD,6.24,0,3,4,6,47,6,1,1,Not Placed,0
44510,23,Female,BCA,FSD,6.94,0,4,6,4,72,5,2,0,Not Placed,0
45414,20,Female,B.Tech,ME,7.46,0,3,4,5,82,5,2,0,Not Placed,0
16676,21,Male,BCA,DS,6.93,0,4,8,6,73,7,2,1,Placed,566000
47974,24,Female,B.Sc,CS,6.04,0,2,2,5,63,4,1,1,Not Placed,0
12534,22,Male,MCA,FSD,8.37,3,5,7,5,60,6,2,1,Placed,530000
8822,23,Male,B.Sc,IT,6.82,0,4,6,5,45,5,2,1,Not Placed,0
35425,20,Female,B.Tech,Civil,6.43,0,3,4,8,73,6,1,3,Not Placed,0
14969,19,Female,BCA,AI&ML,6.12,1,4,7,4,65,7,2,3,Not Placed,0
14984,22,Male,B.Tech,CSE,8.74,3,6,10,8,100,4,3,1,Placed,780000
43030,20,Male,B.Sc,IT,7.57,1,5,8,5,56,5,2,0,Placed,532000
30562,20,Female,BCA,AI&ML,6.64,0,3,3,7,65,6,1,1,Not Placed,0
39801,20,Male,BCA,AI&ML,5.12,2,3,5,6,54,5,1,1,Not Placed,0
1713,22,Male,B.Sc,DS,7.19,2,4,7,6,58,5,2,0,Placed,526000
13038,23,Female,MCA,AI&ML,6.02,0,3,4,8,43,6,1,1,Not Placed,0
25153,21,Male,B.Sc,IT,7.07,1,5,8,7,83,7,3,0,Placed,636000
43856,18,Male,BCA,IT,7.76,1,5,9,4,77,5,3,1,Not Placed,0
33717,20,Male,BCA,DS,7.49,1,4,5,6,95,6,2,2,Not Placed,0
1916,19,Female,B.Tech,ECE,6.23,2,3,5,6,54,7,1,2,Not Placed,0
28717,23,Male,B.Sc,CS,7.14,2,4,6,6,72,6,2,0,Placed,524000
26567,22,Female,MCA,IT,6.97,0,5,10,5,67,5,3,1,Placed,614000
23893,20,Female,B.Sc,IT,7.7,1,4,6,5,64,5,2,1,Placed,478000
36582,19,Female,MCA,IT,7.13,2,5,8,9,85,5,3,0,Placed,690000
34738,23,Female,BCA,DS,5.26,1,3,6,6,59,5,2,1,Not Placed,0
26933,19,Male,B.Sc,IT,8.35,2,5,9,5,80,7,3,0,Placed,630000
17500,24,Female,B.Sc,IT,7.39,1,4,7,6,70,5,2,1,Placed,540000
14775,22,Male,BCA,AI&ML,8.13,1,4,6,4,91,7,2,0,Not Placed,0
32438,24,Male,B.Tech,ME,5.57,0,2,3,5,50,5,1,2,Not Placed,0
13295,20,Male,BCA,FSD,4.5,0,1,1,7,35,6,0,2,Not Placed,0
22051,19,Female,MCA,DS,8.82,3,6,10,2,94,6,3,0,Not Placed,0
37590,23,Male,BCA,IT,6.94,1,4,7,5,46,4,2,0,Not Placed,0
13784,19,Male,MCA,AI&ML,6.5,1,4,6,4,55,5,2,0,Not Placed,0
23825,21,Female,B.Tech,Civil,6.22,1,4,7,6,63,6,2,2,Not Placed,0
6401,23,Male,B.Tech,CSE,5.03,2,3,5,4,35,5,1,3,Not Placed,0
10,22,Male,B.Sc,IT,7.3,1,4,7,4,77,4,2,2,Not Placed,0
18081,22,Female,MCA,AI&ML,5.43,0,3,4,6,64,6,1,1,Not Placed,0
12807,22,Female,B.Sc,DS,5.37,0,3,4,7,73,5,1,1,Not Placed,0
46308,18,Female,MCA,FSD,5.36,1,2,1,6,37,5,0,1,Not Placed,0
46528,20,Female,MCA,DS,6.7,1,3,4,6,49,5,1,0,Not Placed,0
36967,22,Female,B.Tech,ECE,6.31,0,3,4,3,60,5,1,1,Not Placed,0
3245,20,Female,B.Tech,Civil,8.61,1,5,7,8,94,5,2,0,Placed,638000
22487,18,Female,MCA,AI&ML,6.0,0,3,5,8,64,6,2,2,Not Placed,0
47808,22,Male,MCA,IT,7.53,0,4,5,4,68,7,2,1,Not Placed,0
8334,22,Female,MCA,FSD,8.4,0,4,5,5,83,5,2,0,Placed,476000
3834,21,Female,MCA,IT,5.47,2,4,7,4,40,5,2,1,Not Placed,0
14903,23,Male,B.Sc,DS,6.47,0,5,9,5,63,5,3,3,Not Placed,0
22492,23,Female,B.Tech,ECE,7.81,2,4,7,5,85,4,2,2,Not Placed,0
4760,18,Female,MCA,DS,6.87,0,4,8,6,80,6,3,1,Placed,590000
35009,19,Male,B.Sc,CS,6.68,2,4,6,5,73,5,2,1,Placed,506000
44178,24,Female,BCA,DS,7.22,3,4,7,6,69,6,2,0,Placed,558000
26635,21,Female,BCA,FSD,6.92,1,4,6,4,63,6,2,0,Not Placed,0
49328,22,Male,BCA,DS,8.38,2,5,7,6,83,7,2,0,Placed,586000
27058,21,Male,BCA,DS,7.25,1,4,6,8,76,5,2,0,Placed,561999
3820,20,Male,BCA,IT,9.44,1,6,10,8,83,7,3,0,Placed,725999
25904,18,Male,MCA,IT,7.6,0,4,6,6,70,6,2,1,Placed,500000
30413,18,Male,B.Tech,CSE,9.52,1,6,9,6,99,6,3,0,Placed,687999
43590,19,Female,MCA,DS,7.36,1,4,7,6,80,6,2,0,Placed,560000
32086,18,Female,B.Tech,ECE,8.37,1,5,9,4,80,6,3,0,Not Placed,0
25947,20,Male,BCA,AI&ML,5.64,1,3,6,8,57,5,2,1,Not Placed,0
9559,19,Male,B.Tech,IT,8.52,2,6,10,4,81,5,3,0,Not Placed,0
25338,24,Female,B.Sc,IT,6.55,1,4,6,6,72,3,2,0,Placed,514000
37922,20,Male,B.Tech,CSE,6.87,0,3,5,5,67,5,2,0,Placed,434000
47866,20,Female,MCA,FSD,5.87,0,3,4,7,72,8,1,1,Not Placed,0
21772,20,Male,MCA,DS,6.95,0,2,2,7,76,5,1,1,Not Placed,0
48937,22,Female,MCA,DS,8.89,0,4,6,6,71,6,2,1,Placed,502000
3010,24,Female,B.Tech,ECE,5.75,1,3,6,6,48,4,2,2,Not Placed,0
